Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SYNCBOX_V3I1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX_V3I1.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [SYNCBOX.PcbDoc]|ReportField=TotalQuantity~277|ReportField=ReportTime~7:45:39 PM|ReportField=ReportDate~8/16/2018|ReportField=ReportDateTime~8/16/2018 7:45:39 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Company~(c) 2018 Bogazici University www.boun.edu.tr|ReportField=NotFitted~NF|ReportField=Project~SYNCBOX|ReportField=VariantName~Default|ReportField=VersionRevision~V3I1|ReportField=ZERORESISTANCE~ZR|ReportField=DataSourceFileName~SYNCBOX.PcbDoc|ReportField=DataSourceFullPath~C:\Users\Altay\Documents\Altium\Projects\SyncBox\Work\Bogazici University\SyncBox\V3I1\Circuit\SYNCBOX.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
32|5787617-1|CONN RCPT R/A 4OVER4POS GOLD PCB|USB-2A|{URL}{URL.TEXT}TE%20Connectivity%20AMP%20Connectors{URL.TIP}Component|{URL}{URL.TEXT}5787617-1{URL.TIP}Manufacturer|Digi-Key|1
33|3-6318491-6|CONN PLUG 220POS 0.5MM DUAL SMT|CONN220_3-631849 - WM|{URL}{URL.TEXT}TE%20Connectivity%20AMP%20Connectors{URL.TIP}Component|{URL}{URL.TEXT}3-6318491-6{URL.TIP}Manufacturer|Digi-Key|1
34|Hdr 4x2mm BOXED|CONN HEADER 4POS 2MM VERT TIN|HDR_1x4_2MM_SHDR|{URL}{URL.TEXT}Molex,%20LLC{URL.TIP}Component|{URL}{URL.TEXT}0532530470{URL.TIP}Manufacturer|Digi-Key|2
35|PJ-002AH|CONN PWR JACK 2.1X5.5MM HIGH CUR|POWER_JACK_5.5_2.1MM_NS|{URL}{URL.TEXT}CUI%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}PJ-002AH{URL.TIP}Manufacturer|Digi-Key|1
36|USB Type B|1 Port Right Angle Through Hole Mount Female Type B USB Connector, 4 Position, -55 to 85 degC, RoHS, Tray|USB-B RECEPTACLE|{URL}{URL.TEXT}TE%20Connectivity%20AMP%20Connectors{URL.TIP}Component|{URL}{URL.TEXT}292304-1{URL.TIP}Manufacturer|Digi-Key|1
37|HEADER|TERM BLOCK HDR 3POS 90DEG 5MM|TerminalBlock3P508|{URL}{URL.TEXT}TE%20Connectivity%20AMP%20Connectors{URL.TIP}Component|{URL}{URL.TEXT}796644-3{URL.TIP}Manufacturer|Digi-Key|1
38|DSUB-9 Stacked|189-009-613R491|DSUB9-Double|{URL}{URL.TEXT}NorComp%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}189-009-613R491{URL.TIP}Manufacturer|Digi-Key|2
39|HDR 1x3|BERGSTIK II .100" SR STRAIGHT|HDR_1X3_2.54MM|{URL}{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}{URL.TEXT}68000-103HLF{URL.TIP}Manufacturer|Digi-Key|4
40|HDR 1x2|BERGSTIK II .100" SR STRAIGHT|HDR_1x2_2.54MM|{URL}{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}{URL.TEXT}68001-202HLF{URL.TIP}Manufacturer|Digi-Key|1
41|EC2-5NU|RELAY GEN PURPOSE DPDT 2A 5V|EC2NU|{URL}{URL.TEXT}KEMET{URL.TIP}Component|{URL}{URL.TEXT}EC2-5NU{URL.TIP}Manufacturer|Digi-Key|2
42|742792662|FERRITE BEAD 1 KOHM 0603 1LN|IND_1608-M|{URL}{URL.TEXT}Wurth%20Electronics%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}742792662{URL.TIP}Manufacturer|Digi-Key|1
43|ACM2012-900-2P-T002|CHOKE COMM MODE 90 OHM .4A SMD|ACM2012|{URL}{URL.TEXT}TDK%20Corporation{URL.TIP}Component|{URL}{URL.TEXT}ACM2012-900-2P-T002{URL.TIP}Manufacturer|Digi-Key|9
44|4.7µH|INDUCTOR POWER 4.7UH 5.5A SMD|IHLP_255MILx270MIL|{URL}{URL.TEXT}Vishay%20Dale{URL.TIP}Component|{URL}{URL.TEXT}IHLP2525CZER4R7M01{URL.TIP}Manufacturer|Digi-Key|2
45|GT-0903A|AUDIO MAGNETIC XDCR 2-4V TH|GT-0903A|{URL}{URL.TEXT}Soberton%20Inc.{URL.TIP}Component|{URL}{URL.TEXT}GT-0903A{URL.TIP}Manufacturer|Digi-Key|1
46|76384-303LF|CONN HEADER 3POS .100" STR GOLD|HDR_1X3_2.54MM_SHDR_V2|{URL}{URL.TEXT}Amphenol%20FCI{URL.TIP}Component|{URL}{URL.TEXT}76384-303LF{URL.TIP}Manufacturer|Digi-Key|2
47|LCD Connector|HEADER 2MM WTB R/A SQ PIN 7CKT|WM3412-ND|{URL}{URL.TEXT}Molex,%20LLC{URL.TIP}Component|{URL}{URL.TEXT}0532540770{URL.TIP}Manufacturer|Digi-Key|1
